book_id,book_title,author_id,publisher_id
1,The Secret Library,1,1
2,Starship Dawn,2,2
3,The Wishing Key,3,3
4,Lost in the Fog,4,4
5,Ancient Echoes,5,5
6,The Iron Gate,6,6
7,Valley of Kings,7,7
8,Midnight's Child,8,8
9,Frozen Pathways,9,9
10,The Last Ember,10,10
11,Sunlit Shadows,11,11
12,The Glass Tower,12,12
13,Stolen Moments,13,13
14,The Turning Tide,14,14
15,The Blind Cartographer,15,15
16,Map of Dreams,16,16
17,The Painted Veil,17,17
18,Desert Mirage,18,18
19,The Silver Lining,19,19
20,The Hollow Tree,20,20
21,Crimson Sky,21,21
22,The Forgotten Path,22,22
23,Seven Moons,23,23
24,The Broken Compass,24,24
25,The Wandering Star,25,25
26,The Hidden Valley,26,26
27,Whispering Pines,27,27
28,The Crystal Lake,28,28
29,The Gilded Mask,29,29
30,The Silent Bell,30,30
31,The Blue Grotto,31,31
32,Shifting Sands,32,32
33,The Sleeping Giant,33,33
34,The Rising Storm,34,34
35,The Distant Shore,35,35
36,The Silver Thread,36,36
37,The Golden Apple,37,37
38,The Enchanted Forest,38,38
39,Labyrinth of Lies,39,39
40,The Endless Night,40,40
41,The Painted Desert,41,41
42,Harbor of Souls,42,42
43,The Clockmaker's Daughter,43,43
44,The Forgotten Kingdom,44,44
45,The Twin Suns,45,45
46,The Whispering Wind,46,46
47,The Watcher's Eye,47,47
48,The Serpent's Coil,48,48
49,The Sapphire Crown,49,49
50,The Rogue Star,50,50
51,The Lost Lantern,1,2
52,Darkwood Tales,2,3
53,The Moonlit Vale,3,4
54,The Dancing Bear,4,5
55,The Wind's Return,5,6
56,The Brass City,6,7
57,The Silver Ship,7,8
58,The Quiet River,8,9
59,The Empty Throne,9,10
60,The Burning Sky,10,11
61,The Singing Sword,11,12
62,The Rusted Crown,12,13
63,The Northern Lights,13,14
64,The Shadow's Edge,14,15
65,The Dream Weaver,15,16
66,The Lost Symphony,16,17
67,The Crystal Bridge,17,18
68,The Emerald Isle,18,19
69,The Paper Moon,19,20
70,The Wandering Mind,20,21
71,The Hidden Chamber,21,22
72,The Sable Queen,22,23
73,The Golden Feather,23,24
74,The Fox's Gambit,24,25
75,The Jade Emperor,25,26
76,The Quiet Storm,26,27
77,The Secret Staircase,27,28
78,The Silver Coin,28,29
79,The Crimson Cloak,29,30
80,The Fallen Star,30,31
81,The Silent Songbird,31,32
82,The Fading Light,32,33
83,The Serpent's Kiss,33,34
84,The Broken Arrow,34,35
85,The Sapphire Ring,35,36
86,The Shattered Stone,36,37
87,The Obsidian Gate,37,38
88,The Velvet Room,38,39
89,The Iron Mask,39,40
90,The Glass Castle,40,41
91,The Winter's Tale,41,42
92,The Bronze Wolf,42,43
93,The Cobalt Sky,43,44
94,The Painted Horse,44,45
95,The Whispering Willow,45,46
96,The Echoing Hall,46,47
97,The Silver Fox,47,48
98,The Lost Oracle,48,49
99,The Quiet Meadow,49,50
100,The Forgotten Song,50,1
101,The Jade Tower,1,3
102,The Tarnished Crown,2,4
103,The Empty Page,3,5
104,The Distant Bell,4,6
105,The Wishing Well,5,7
106,The Lonely Mountain,6,8
107,The Storm's Eye,7,9
108,The Crimson Lantern,8,10
109,The Hidden Rose,9,11
110,The Painted Swan,10,12
111,The Golden Maze,11,13
112,The Shadow's Dance,12,14
113,The Quiet Forest,13,15
114,The Silver Lake,14,16
115,The Whispering Stream,15,17
116,The Sable Mask,16,18
117,The Broken Sword,17,19
118,The Crystal Crown,18,20
119,The Forgotten Garden,19,21
120,The Wandering Fox,20,22
121,The Jade Compass,21,23
122,The Burning Veil,22,24
123,The Painted Lily,23,25
124,The Dreamer's Path,24,26
125,The Sunlit Room,25,27
126,The Enchanted Bookshop,26,28
127,The Silken Thread,27,29
128,The Golden Road,28,30
129,The Silver Wolf,29,31
130,The Whispering Field,30,32
131,The Crimson Garden,31,33
132,The Shadowed Path,32,34
133,The Echoing Valley,33,35
134,The Hidden Mask,34,36
135,The Painted Door,35,37
136,The Golden Bridge,36,38
137,The Sapphire Lake,37,39
138,The Iron Crown,38,40
139,The Jade Song,39,41
140,The Silent Willow,40,42
141,The Secret Meadow,41,43
142,The Silver Bell,42,44
143,The Crimson Fox,43,45
144,The Obsidian Mask,44,46
145,The Painted Oak,45,47
146,The Velvet Path,46,48
147,The Whispering Hawk,47,49
148,The Shattered Veil,48,50
149,The Golden Lantern,49,1
150,The Echoing Stone,50,2
151,The Wandering Lantern,1,4
152,The Silent Hour,2,5
153,The Painted Lantern,3,6
154,The Crimson Path,4,7
155,The Obsidian Wolf,5,8
156,The Shadow's Crown,6,9
157,The Silver Song,7,10
158,The Fading Echo,8,11
159,The Golden Mask,9,12
160,The Jade Lantern,10,13
161,The Broken Castle,11,14
162,The Painted Mask,12,15
163,The Whispering Lantern,13,16
164,The Iron Bell,14,17
165,The Crystal Path,15,18
166,The Golden Garden,16,19
167,The Silver Lantern,17,20
168,The Shadowed Lantern,18,21
169,The Whispering Castle,19,22
170,The Enchanted Lantern,20,23
171,The Obsidian Garden,21,24
172,The Crimson Meadow,22,25
173,The Painted Garden,23,26
174,The Silent Lantern,24,27
175,The Golden Oak,25,28
176,The Fading Mask,26,29
177,The Silver Meadow,27,30
178,The Whispering Crown,28,31
179,The Iron Lantern,29,32
180,The Jade Garden,30,33
181,The Painted Fox,31,34
182,The Shadowed Meadow,32,35
183,The Golden Willow,33,36
184,The Silent Garden,34,37
185,The Crimson Lantern,35,38
186,The Silver Oak,36,39
187,The Whispering Wolf,37,40
188,The Painted Meadow,38,41
189,The Obsidian Lantern,39,42
190,The Jade Willow,40,43
191,The Golden Wolf,41,44
192,The Painted Willow,42,45
193,The Fading Willow,43,46
194,The Whispering Oak,44,47
195,The Silver Garden,45,48
196,The Crimson Wolf,46,49
197,The Painted Wolf,47,50
198,The Golden Mask,48,1
199,The Silent Wolf,49,2
200,The Jade Wolf,50,3
