loan_id,staff_id,user_id,copy_id,borrow_date,borrow_time,due_date
1,1,7,2,2024-01-10,09:32:00,2024-02-10
2,3,14,5,2024-01-12,12:12:00,2024-02-12
3,6,21,8,2024-01-15,16:18:00,2024-02-15
4,4,28,11,2024-01-18,18:47:00,2024-02-18
5,2,35,15,2024-01-21,10:20:00,2024-02-21
6,7,42,18,2024-01-24,14:05:00,2024-02-24
7,8,49,20,2024-01-27,17:11:00,2024-02-27
8,14,3,25,2024-01-30,20:54:00,2024-02-29
9,1,10,30,2024-02-02,08:23:00,2024-03-03
10,3,17,32,2024-02-05,12:40:00,2024-03-06
11,10,24,35,2024-02-08,19:12:00,2024-03-09
12,11,31,40,2024-02-11,18:34:00,2024-03-14
13,5,38,45,2024-02-14,09:20:00,2024-03-17
14,13,45,54,2024-02-17,13:38:00,2024-03-20
15,6,1,62,2024-02-20,16:00:00,2024-03-23
16,18,8,66,2024-02-23,20:15:00,2024-03-26
17,19,15,74,2024-02-26,10:45:00,2024-03-29
18,20,22,79,2024-03-01,12:55:00,2024-04-01
19,12,29,81,2024-03-04,16:30:00,2024-04-04
20,11,36,86,2024-03-07,18:10:00,2024-04-07
21,22,43,93,2024-03-10,09:55:00,2024-04-10
22,7,50,102,2024-03-13,14:30:00,2024-04-13
23,8,6,112,2024-03-16,16:05:00,2024-04-16
24,21,13,117,2024-03-19,18:13:00,2024-04-19
25,5,20,126,2024-03-22,10:40:00,2024-04-22
26,17,27,132,2024-03-25,14:55:00,2024-04-25
27,23,34,143,2024-03-28,16:22:00,2024-04-28
28,24,41,154,2024-03-31,18:50:00,2024-05-01
29,2,48,162,2024-04-03,11:39:00,2024-05-03
30,3,5,175,2024-04-06,13:58:00,2024-05-06
31,19,12,192,2024-04-09,10:50:00,2024-05-09
32,13,19,201,2024-04-12,12:16:00,2024-05-12
33,8,26,217,2024-04-15,17:04:00,2024-05-15
34,28,33,229,2024-04-18,20:18:00,2024-05-18
35,1,40,232,2024-04-21,09:14:00,2024-05-21
36,27,47,245,2024-04-24,16:40:00,2024-05-24
37,7,4,260,2024-04-27,12:08:00,2024-05-27
38,10,11,272,2024-04-30,18:45:00,2024-05-30
39,25,18,289,2024-05-03,10:05:00,2024-06-03
40,20,25,294,2024-05-06,13:33:00,2024-06-06
41,3,32,310,2024-05-09,15:10:00,2024-06-09
42,12,39,315,2024-05-12,16:28:00,2024-06-12
43,6,46,324,2024-05-15,16:12:00,2024-06-15
44,21,2,333,2024-05-18,18:32:00,2024-06-18
45,2,9,340,2024-05-21,09:00:00,2024-06-21
46,15,16,355,2024-05-24,14:10:00,2024-06-24
47,23,23,360,2024-05-27,16:40:00,2024-06-27
48,8,30,375,2024-05-30,17:15:00,2024-06-30
49,5,37,379,2024-06-02,11:30:00,2024-07-02
50,16,44,392,2024-06-05,12:20:00,2024-07-05
51,19,1,400,2024-06-08,10:12:00,2024-07-08
52,3,8,410,2024-06-11,14:50:00,2024-07-11
53,15,15,415,2024-06-14,13:00:00,2024-07-14
54,18,22,429,2024-06-17,18:21:00,2024-07-17
55,22,29,433,2024-06-20,09:42:00,2024-07-20
56,27,36,440,2024-06-23,16:30:00,2024-07-23
57,9,43,452,2024-06-26,17:10:00,2024-07-26
58,14,50,465,2024-06-29,20:00:00,2024-07-29
59,1,6,471,2024-07-02,08:40:00,2024-08-02
60,3,13,2,2024-07-05,13:30:00,2024-08-05
61,25,20,5,2024-07-08,09:15:00,2024-08-08
62,13,27,8,2024-07-11,14:50:00,2024-08-11
63,8,34,11,2024-07-14,17:30:00,2024-08-14
64,4,41,15,2024-07-17,18:00:00,2024-08-17
65,5,48,18,2024-07-20,09:10:00,2024-08-20
66,23,4,20,2024-07-23,16:25:00,2024-08-23
67,7,11,25,2024-07-26,14:45:00,2024-08-26
68,10,18,30,2024-07-29,16:11:00,2024-08-29
69,1,25,32,2024-08-01,10:15:00,2024-09-01
70,3,32,35,2024-08-04,12:10:00,2024-09-04
71,11,39,40,2024-08-07,18:55:00,2024-09-07
72,11,46,43,2024-08-10,18:00:00,2024-09-10
73,13,3,45,2024-08-13,14:33:00,2024-09-13
74,18,10,54,2024-08-16,19:45:00,2024-09-16
75,25,17,62,2024-08-19,08:09:00,2024-09-19
76,3,24,66,2024-08-22,13:42:00,2024-09-22
77,8,31,74,2024-08-25,16:33:00,2024-09-25
78,28,38,79,2024-08-28,20:22:00,2024-09-28
79,2,45,81,2024-08-31,08:39:00,2024-09-30
80,19,1,86,2024-09-03,10:31:00,2024-10-03
81,13,8,93,2024-09-06,14:44:00,2024-10-06
82,17,15,102,2024-09-09,15:08:00,2024-10-09
